cntry,news,polintr,vote,age,gndr,eduyrs,edutype,pdwrk,hincfel,pstplonl,contplt,netusoft,netustm,trstplt,trstprt,cptppola
SE,180,2,1,61,Female,13,Gymnasial uddannelse,1,2,1,2,5,480,6,6,2
SE,30,2,1,31,Female,15,Universitetsuddannelse,0,1,1,2,5,210,7,7,4
SE,0,2,1,61,Female,14,NA,0,2,2,2,1,NA,2,3,2
SE,60,4,1,51,Male,14,Gymnasial uddannelse,1,1,2,2,5,240,4,5,1
SE,0,3,1,31,Female,17,Videregående uddannelse,1,2,2,2,5,60,0,0,2
SE,30,3,1,60,Male,9,Grundskole,1,1,2,2,5,20,5,6,2
SE,60,1,1,22,Female,15,Gymnasial uddannelse,0,2,1,2,5,480,2,2,5
SE,240,3,1,54,Female,15,Universitetsuddannelse,1,1,2,2,5,240,7,7,3
SE,120,2,1,79,Male,8,Grundskole,0,2,2,2,5,240,6,6,3
SE,20,2,1,53,Male,19,Universitetsuddannelse,1,1,2,2,5,480,8,8,3
SE,90,1,1,79,Male,14,Universitetsuddannelse,0,1,1,2,5,120,4,4,3
SE,60,2,1,43,Male,12,Videregående uddannelse,1,1,2,2,5,240,6,4,3
SE,120,1,1,85,Female,18,Universitetsuddannelse,0,1,2,2,5,120,7,7,3
SE,60,2,1,34,Female,17,Videregående uddannelse,1,1,1,2,5,480,4,5,2
SE,240,2,1,74,Male,11,Grundskole,0,2,1,2,4,60,2,2,3
SE,90,1,1,64,Female,12,Gymnasial uddannelse,1,1,2,2,5,60,7,7,1
SE,0,4,2,30,Female,20,Universitetsuddannelse,0,2,1,2,5,600,2,0,2
SE,120,1,1,46,Male,16,Videregående uddannelse,1,1,2,1,5,600,6,6,3
SE,45,2,1,78,Female,12,Gymnasial uddannelse,0,1,2,2,2,NA,5,5,2
SE,240,1,1,72,Male,18,Videregående uddannelse,1,2,1,2,5,240,3,5,5
SE,15,1,1,43,Male,20,Universitetsuddannelse,1,1,1,2,5,NA,3,4,3
SE,60,4,2,39,Female,12,Videregående uddannelse,0,3,2,1,5,120,0,0,1
SE,60,2,1,53,Female,17,Universitetsuddannelse,1,1,2,1,5,60,6,4,3
SE,60,4,2,52,Female,13,Gymnasial uddannelse,0,1,2,2,5,180,6,5,1
SE,60,2,1,65,Male,20,Universitetsuddannelse,1,1,1,2,4,120,5,4,3
SE,60,3,1,49,Male,14,Videregående uddannelse,1,2,2,1,5,180,2,0,1
SE,180,1,1,82,Male,10,Videregående uddannelse,0,1,2,2,2,NA,5,6,2
SE,75,2,1,55,Male,15,Universitetsuddannelse,1,1,2,2,5,20,7,6,3
SE,60,2,1,50,Female,22,Universitetsuddannelse,1,2,2,2,5,240,4,4,2
SE,NA,1,1,64,Male,18,Universitetsuddannelse,1,1,1,2,5,600,5,5,5
SE,30,3,1,61,Male,15,Universitetsuddannelse,1,1,2,2,5,180,5,5,2
SE,45,2,1,52,Female,17,Universitetsuddannelse,1,2,2,2,5,90,4,6,3
SE,60,3,1,63,Female,14,Videregående uddannelse,0,1,2,1,5,60,7,7,3
SE,120,1,1,61,Female,16,Universitetsuddannelse,1,1,2,1,5,60,6,7,3
SE,10,3,1,26,Male,13,Gymnasial uddannelse,1,2,2,2,5,90,2,3,2
SE,30,1,1,66,Male,11,Gymnasial uddannelse,1,2,2,2,5,120,1,1,2
SE,60,2,1,45,Female,14,Gymnasial uddannelse,0,2,2,2,5,180,2,4,2
SE,30,1,1,30,Male,15,Universitetsuddannelse,1,1,2,2,5,600,5,5,4
SE,30,3,2,27,Female,15,Universitetsuddannelse,1,2,2,2,5,540,8,6,2
SE,180,1,1,75,Female,10,Gymnasial uddannelse,0,2,2,2,5,120,7,8,2
SE,30,2,1,48,Male,12,Gymnasial uddannelse,1,2,2,2,5,180,3,3,3
SE,180,1,1,77,Male,11,Grundskole,0,2,2,2,5,60,4,3,3
SE,120,2,1,86,Male,9,Gymnasial uddannelse,0,1,2,2,5,300,6,6,1
SE,60,1,1,60,Female,19,Universitetsuddannelse,1,1,1,2,5,570,5,6,3
SE,NA,1,1,31,Male,16,Universitetsuddannelse,1,1,2,1,5,720,1,1,4
